age,wins
33,16
,0
39,13
48,7
38,13
52,9
34,34
45,37
,7
34,8
54,14
38,13
,4
43,14
,0
25,10
37,5
44,13
40,9
39,20
26,15
43,11
43,54
44,10
45,45
46,29
32,9
37,8
39,8
29,7
38,10
,3
36,21
38,13
28,18
40,24
34,22
43,21
38,16
34,19
40,25
42,5
29,13
41,9
39,28
39,7
,0
38,16
30,23
52,6
34,4
39,26
31,8
41,12
28,9
,4
38,12
39,8
42,13
38,24
37,8
35,4
29,17
37,9
57,0
30,14
43,8
30,12
33,9
30,8
43,8
33,14
,7
41,33
38,15
,0
55,16
50,24
34,12
29,7
33,19
34,40
27,10
35,15
32,22
39,17
45,11
29,10
44,13
36,20
43,6
29,6
41,19
38,25
45,23
56,3
54,15
34,4
43,11
48,0
34,15
34,15
34,24
38,28
31,10
38,12
36,8
39,10
43,21
,19
37,14
28,10
,5
34,12
28,2
43,21
29,19
36,20
44,22
32,15
24,9
,0
25,11
35,25
29,14
31,10
56,7
35,33
,0
41,10
29,5
35,17
37,20
45,10
49,31
34,28
40,12
30,9
34,9
35,21
33,6
32,6
53,4
47,8
33,19
,1
,4
56,4
,0
37,14
38,15
42,8
,2
42,18
50,4
28,14
45,0
,2
45,17
37,21
26,14
45,14
43,18
48,36
31,14
34,12
30,24
29,8
47,26
34,23
29,14
29,26
32,17
39,14
27,21
39,21
41,14
38,16
39,20
31,14
32,4
30,13
33,19
,0
46,12
,11
37,13
37,16
37,5
42,11
28,13
30,7
39,15
26,14
36,19
41,15
31,10
36,9
,11
30,12
35,11
49,51
36,35
36,7
37,17
,1
31,12
37,24
44,22
28,11
48,11
45,24
28,11
39,12
29,13
33,29
44,15
32,5
38,11
38,16
48,20
40,12
39,15
41,6
34,7
29,11
,2
,0
38,27
37,13
30,10
,2
40,9
43,12
,2
30,9
31,19
34,32
38,20
25,14
36,15
29,8
29,9
32,6
38,18
26,5
30,13
,1
28,12
28,17
42,36
31,16
36,19
37,23
34,6
34,14
30,20
34,16
35,15
30,8
43,37
29,16
30,6
31,13
51,7
34,8
35,17
35,16
40,23
30,10
,0
39,28
37,23
26,15
37,21
38,21
36,24
34,13
30,22
29,17
,0
34,20
44,10
40,21
44,12
34,17
38,9
,21
41,18
56,7
,14
37,32
47,31
35,15
36,15
31,18
33,5
46,21
44,16
,1
35,9
28,10
,10
29,12
39,9
28,16
,7
34,19
38,11
46,6
39,22
39,17
39,22
35,11
47,11
37,25
50,14
29,21
,0
34,7
54,2
35,12
40,19
38,16
53,0
56,7
27,9
39,18
,255
48,10
43,77
29,14
31,13
48,34
40,15
35,14
41,3
,4
30,12
,15
39,19
49,44
37,17
37,20
29,7
38,9
25,13
37,17
42,35
28,7
39,14
33,21
,1
38,10
35,19
33,11
38,14
49,26
25,6
29,21
28,5
39,18
31,8
44,6
31,17
38,13
31,7
30,10
32,9
37,19
33,17
37,22
44,26
42,12
34,10
27,14
50,27
31,17
,12
40,12
34,16
37,14
53,9
38,13
45,35
39,14
30,14
40,16
25,16
,0
48,20
41,24
42,21
34,21
35,14
30,37
34,26
33,9
30,11
34,12
42,14
36,24
31,13
39,32
28,13
38,14
31,14
33,15
40,22
44,21
44,13
37,13
51,0
34,6
36,11
46,15
26,10
47,18
24,10
40,20
46,63
44,25
57,0
30,12
40,36
31,10
31,23
44,42
42,20
30,18
47,9
38,21
37,24
34,18
55,4
29,4
26,8
32,14
30,19
